Country Name,Cheltuieli Militare(%GDP)
Afghanistan,1.118230603
Albania,1.291087114
Algeria,6.021045994
Angola,1.643740283
Argentina,0.706186671
Armenia,4.768968354
Australia,1.879743267
Austria,0.72740941
Azerbaijan,3.873411703
Bahrain,4.055054417
Bangladesh,1.348906693
Belarus,1.226168363
Belgium,0.89304295
Belize,1.331671046
Benin,0.472934841
Bolivia,1.463637574
Bosnia and Herzegovina,0.8200662
Botswana,2.812261003
Brazil,1.407988516
Brunei Darussalam,3.078642143
Bulgaria,3.148475544
Burkina Faso,2.606037509
Burundi,2.497152014
Cabo Verde,0.488213087
Cambodia,2.228561325
Cameroon,1.086759173
Canada,1.27894142
Central African Republic,1.915529229
Chad,2.187152986
Chile,1.837381841
China,1.727827863
Colombia,3.140733964
"Congo, Dem. Rep.",0.708059013
"Congo, Rep.",2.748296599
Costa Rica,0
Cote d'Ivoire,1.227480729
Croatia,1.648867463
Cyprus,1.609466806
Czech Republic,1.160877615
Denmark,1.301454919
Dominican Republic,0.689583104
Ecuador,2.233801969
"Egypt, Arab Rep.",1.180971797
El Salvador,1.173830536
Equatorial Guinea,1.312734395
Estonia,2.024018821
Eswatini,1.886147697
Ethiopia,0.587739944
Fiji,1.464098153
Finland,1.347711136
France,1.845491196
Gabon,1.580901717
"Gambia, The",0.814318637
Georgia,1.749924308
Germany,1.269146867
Ghana,0.441936078
Greece,2.664580485
Guatemala,0.465831692
Guinea,1.445135682
Guinea-Bissau,1.652794305
Guyana,1.60417879
Haiti,0.001394213
Honduras,1.623597965
Hungary,1.254386294
India,2.519120764
Indonesia,0.804335324
"Iran, Islamic Rep.",2.100567132
Iraq,3.38219585
Ireland,0.279145286
Israel,5.19293283
Italy,1.316566978
Jamaica,1.68726606
Japan,0.937281087
Jordan,4.642062722
Kazakhstan,1.062379366
Kenya,1.16769139
"Korea, Rep.",2.673128162
Kuwait,5.484195624
Kyrgyz Republic,1.55869225
Latvia,2.028669033
Lebanon,4.707900587
Lesotho,1.622520184
Liberia,1.401492875
Lithuania,2.007150696
Luxembourg,0.637730518
Madagascar,0.62397202
Malawi,1.124097445
Malaysia,1.033022625
Mali,2.713526371
Malta,0.554908055
Mauritania,1.980663209
Mauritius,0.155938299
Mexico,0.52348249
Moldova,0.355073047
Mongolia,0.707609532
Montenegro,1.40106975
Morocco,3.09993597
Mozambique,1.419986943
Myanmar,2.09498789
Namibia,3.092932642
Nepal,1.376595177
Netherlands,1.322929921
New Zealand,1.42603423
Nicaragua,0.606875679
Niger,2.651043859
Nigeria,0.459170522
North Macedonia,1.164594116
Norway,1.853081753
Oman,8.637691241
Pakistan,4.108816358
Panama,0
Papua New Guinea,0.362281249
Paraguay,0.968225096
Peru,1.192773184
Philippines,0.920263122
Poland,1.975746349
Portugal,1.835769729
Romania,1.842511893
Russian Federation,3.832115681
Rwanda,1.239645168
Saudi Arabia,7.812684846
Senegal,1.51347929
Serbia,2.216105685
Seychelles,1.335361292
Sierra Leone,0.73496769
Singapore,2.86534683
Slovak Republic,1.715226084
Slovenia,1.057394138
South Africa,0.978057397
Spain,1.233438734
Sri Lanka,2.011121467
Sudan,1.644621089
Sweden,1.098943094
Switzerland,0.699250733
Tajikistan,1.038329778
Tanzania,1.01776679
Thailand,1.352707836
Timor-Leste,1.23214145
Togo,3.146217077
Trinidad and Tobago,0.707947748
Tunisia,2.564559332
Turkey,2.710273547
Uganda,1.769798079
Ukraine,3.522485271
United Kingdom,2.013004573
United States,3.427080181
Uruguay,2.059819
Zambia,1.219374502
Zimbabwe,0.698600973
