Country Name,Densitate Populatie
Afghanistan,58.26939466
Albania,104.1675547
Algeria,18.07629545
Angola,25.52763215
Argentina,16.42082662
Armenia,103.889287
Australia,3.297670183
Austria,107.6093068
Azerbaijan,121.2800711
Bahrain,2104.05641
Bangladesh,1252.563363
Belarus,46.40732092
Belgium,379.4247028
Belize,17.11315213
Benin,104.6572455
Bolivia,10.62780578
Bosnia and Herzegovina,64.47261719
Botswana,4.064903923
Brazil,25.25077577
Brunei Darussalam,82.21935484
Bulgaria,64.25719418
Burkina Faso,74.27406067
Burundi,449.0100078
Cabo Verde,136.4605459
Cambodia,93.39758668
Cameroon,54.7405111
Canada,4.193074187
Central African Republic,7.616904234
Chad,12.66429638
Chile,25.48919885
China,149.3675732
Colombia,45.37128707
"Congo, Dem. Rep.",38.28348206
"Congo, Rep.",15.7555022
Costa Rica,98.85548374
Cote d'Ivoire,80.86966667
Croatia,71.83694999
Cyprus,129.7158009
Czech Republic,138.236658
Denmark,145.36055
Dominican Republic,222.2926309
Ecuador,69.95352311
"Egypt, Arab Rep.",100.8469295
El Salvador,311.4647683
Equatorial Guinea,48.34160428
Estonia,30.52445365
Eswatini,66.7519186
Ethiopia,99.24615983
Fiji,48.71127531
Finland,18.16795867
France,122.8163022
Gabon,8.431629604
"Gambia, The",231.9857708
Georgia,65.08556982
Germany,237.8297613
Ghana,133.6813659
Greece,83.17751746
Guatemala,154.946118
Guinea,51.97479245
Guinea-Bissau,68.31141536
Guyana,3.976504953
Haiti,408.6748549
Honduras,87.10443293
Hungary,107.0692636
India,459.5796959
Indonesia,144.1399885
"Iran, Islamic Rep.",50.90614517
Iraq,90.54884504
Ireland,71.62636087
Israel,418.3918669
Italy,200.6149229
Jamaica,272.23241
Japan,346.4058464
Jordan,113.783476
Kazakhstan,6.85767789
Kenya,92.37440173
"Korea, Rep.",530.2409557
Kuwait,236.0873737
Kyrgyz Republic,33.66110532
Latvia,30.8233532
Lebanon,670.1572825
Lesotho,70.00220685
Liberia,51.26011213
Lithuania,44.61339614
Luxembourg,255.1444444
Madagascar,46.35494328
Malawi,197.589616
Malaysia,97.24483032
Mali,16.11062457
Malta,1575.19375
Mauritania,4.390897448
Mauritius,623.5029557
Mexico,65.62696006
Moldova,92.7241551
Mongolia,2.071058369
Montenegro,46.24743494
Morocco,81.72029128
Mozambique,38.61497368
Myanmar,82.79143676
Namibia,3.029945706
Nepal,199.5724799
Netherlands,515.1432729
New Zealand,18.91040978
Nicaragua,54.39174838
Niger,18.40271493
Nigeria,220.6524183
North Macedonia,82.34314036
Norway,14.64744184
Oman,16.07428756
Pakistan,280.9325926
Panama,57.24739475
Papua New Guinea,19.37932032
Paraguay,17.73128366
Peru,25.39879844
Philippines,362.6006037
Poland,124.0012901
Portugal,112.2885828
Romania,84.19527121
Russian Federation,8.817695994
Rwanda,511.8337252
Saudi Arabia,15.94114919
Senegal,84.64323482
Serbia,79.41041619
Seychelles,212.2282609
Sierra Leone,108.2461485
Singapore,8044.526093
Slovak Republic,113.4389975
Slovenia,103.7119346
South Africa,48.27198889
Spain,94.34185906
Sri Lanka,352.4343722
Sudan,23.15187997
Sweden,25.23602907
Switzerland,217.0076296
Tajikistan,67.15918294
Tanzania,65.48369948
Thailand,136.28292
Timor-Leste,86.96166779
Togo,148.6000919
Trinidad and Tobago,271.9237817
Tunisia,75.27498069
Turkey,108.4022283
Uganda,220.7739228
Ukraine,76.60718502
United Kingdom,276.2630802
United States,35.89317567
Uruguay,19.77905954
Zambia,24.02646525
Zimbabwe,37.85827323
